loss,mae,msle,val_loss,val_mae,val_msle
37.32572074,2900.216797,37.32572556,20.78802781,2905.549561,20.78802681
16.61421812,2867.400146,16.61422157,11.81463683,2846.549561,11.81463718
9.671752602,2788.803467,9.67175293,7.638392961,2744.662842,7.638392925
6.380729905,2670.415039,6.380730629,5.357903588,2612.301514,5.357903957
4.646984574,2526.053467,4.646987438,4.061145318,2458.708008,4.061145306
3.620558059,2364.967285,3.620558977,3.247837722,2289.96167,3.247837305
2.945397955,2188.854736,2.945398569,2.690630668,2106.351074,2.690630436
2.492697357,2008.772949,2.492697239,2.328221557,1918.918579,2.32822156
2.188098771,1821.00061,2.188098907,2.053674769,1740.216187,2.053674698
1.958325672,1634.484131,1.958325982,1.852303934,1559.243286,1.852303863
1.776156223,1456.137573,1.776156664,1.732452062,1357.454956,1.732452154
1.669121946,1277.793945,1.669121861,1.606863111,1194.091553,1.606862903
1.585284849,1113.974365,1.585285068,1.526739024,1037.352661,1.52673924
1.532049057,955.9290771,1.532048821,1.469848354,883.0133057,1.469848275
1.459005791,816.8323364,1.459005833,1.426642308,768.9136963,1.426642299
1.439225798,722.8487549,1.439226031,1.394406873,691.5907593,1.394406915
1.403574467,666.3985596,1.403574347,1.376870559,657.3336182,1.376870632
1.385880561,649.4731445,1.38588047,1.359738846,642.1053467,1.359739065
1.387045546,647.5391846,1.387045741,1.343543331,663.3065796,1.343543291
1.379506674,664.1760254,1.37950635,1.343956915,668.4909668,1.343956709
1.357771695,679.5890503,1.357771754,1.327202253,698.1594238,1.327202201
1.354662879,705.0527344,1.354662418,1.320160593,725.9053345,1.320160747
1.354872355,723.9902344,1.354872584,1.323831552,747.3723145,1.323831677
1.344726525,744.7963257,1.344726443,1.313717897,762.5375366,1.313717842
1.35580222,762.0420532,1.355802178,1.310427473,775.7344971,1.310427666
1.364276527,776.4154663,1.364276648,1.349605259,774.6488037,1.349605203
1.354198708,791.1751709,1.354198337,1.304956906,799.6025391,1.304957151
1.372071566,801.9107666,1.372072101,1.310604014,807.8057251,1.310604095
1.340322385,804.8525391,1.340322614,1.303598467,814.1234131,1.303598523
1.348051719,816.5698853,1.348051906,1.303058673,823.5608521,1.303058863
1.33212862,818.8568115,1.332128763,1.307046838,829.3535767,1.307047009
1.340499833,829.6395264,1.340499759,1.299573928,840.0725708,1.299573898
1.333559354,834.149292,1.33355999,1.30767221,831.402771,1.307672143
