,0,,,197.9315658,,,Total rotation,ANFIS,ANN
0,6350.5,,,,,Likert,298625177.5,301840544.6,
1,6350.5,,,,,ANFIS,301840544.6,,
2,6350.5,,,,,ANN,281270193.4,,
3,3300.5,,,,,,,,
4,4700.5,,,,,,,,
5,3300.5,,,,,,,,
6,6350.5,,,,,,,,
7,0,,,,,,,,
8,6350.5,,,,,,,,
9,3300.5,,,,,,,,
10,4700.5,,,,,,,,
11,0,,,,,,,,
12,2100,,,,,,,,
13,0,,,,,,,,
14,6350.5,,,,,,,,
15,2100,,,,,,,,
16,3300.5,,,,,,,,
17,3300.5,,,,,,,,
18,6350.5,,,,,,,,
19,4700.5,,,,,,,,
20,0,,,,,,,,
21,3300.5,,,,,,,,
22,3300.5,,,,,,,,
23,0,,,,,,,,
24,0,,,,,,,,
25,3300.5,,,,,,,,
26,0,,,,,,,,
27,3300.5,,,,,,,,
28,3300.5,,,,,,,,
29,2100,,,,,,,,
30,6350.5,,,,,,,,
31,0,,,,,,,,
32,3300.5,,,,,,,,
33,2100,,,,,,,,
34,2100,,,,,,,,
35,0,,,,,,,,
36,3300.5,,,,,,,,
37,0,,,,,,,,
38,6350.5,,,,,,,,
39,0,,,,,,,,
40,0,,,,,,,,
41,2100,,,,,,,,
42,3300.5,,,,,,,,
43,4700.5,,,,,,,,
44,3300.5,,,,,,,,
45,0,,,,,,,,
46,0,,,,,,,,
47,0,,,,,,,,
48,0,,,,,,,,
49,0,,,,,,,,
50,0,,,,,,,,
51,6350.5,,,,,,,,
52,0,,,,,,,,
53,4700.5,,,,,,,,
54,3300.5,,,,,,,,
55,0,,,,,,,,
56,2100,,,,,,,,
57,0,,,,,,,,
58,0,,,,,,,,
59,0,,,,,,,,
60,3300.5,,,,,,,,
61,0,,,,,,,,
62,3300.5,,,,,,,,
63,3300.5,,,,,,,,
64,0,,,,,,,,
65,4700.5,,,,,,,,
66,0,,,,,,,,
67,4700.5,,,,,,,,
68,2100,,,,,,,,
69,0,,,,,,,,
70,0,,,,,,,,
71,3300.5,,,,,,,,
72,0,,,,,,,,
73,2100,,,,,,,,
74,3300.5,,,,,,,,
75,0,,,,,,,,
76,3300.5,,,,,,,,
77,0,,,,,,,,
78,3300.5,,,,,,,,
79,3300.5,,,,,,,,
80,3300.5,,,,,,,,
81,0,,,,,,,,
82,3300.5,,,,,,,,
83,3300.5,,,,,,,,
84,3300.5,,,,,,,,
85,2100,,,,,,,,
86,0,,,,,,,,
87,3300.5,,,,,,,,
88,6350.5,,,,,,,,
89,0,,,,,,,,
90,4700.5,,,,,,,,
91,4700.5,,,,,,,,
92,3300.5,,,,,,,,
93,3300.5,,,,,,,,
94,4700.5,,,,,,,,
95,3300.5,,,,,,,,
96,4700.5,,,,,,,,
97,6350.5,,,,,,,,
98,0,,,,,,,,
99,3300.5,,,,,,,,
100,6350.5,,,,,,,,
101,3300.5,,,,,,,,
102,3300.5,,,,,,,,
103,2100,,,,,,,,
104,3300.5,,,,,,,,
105,0,,,,,,,,
106,3300.5,,,,,,,,
107,0,,,,,,,,
108,0,,,,,,,,
109,2100,,,,,,,,
110,4700.5,,,,,,,,
111,3300.5,,,,,,,,
112,6350.5,,,,,,,,
113,4700.5,,,,,,,,
114,3300.5,,,,,,,,
115,3300.5,,,,,,,,
116,3300.5,,,,,,,,
117,2100,,,,,,,,
118,6350.5,,,,,,,,
119,3300.5,,,,,,,,
120,0,,,,,,,,
121,3300.5,,,,,,,,
122,3300.5,,,,,,,,
123,4700.5,,,,,,,,
124,6350.5,,,,,,,,
125,4700.5,,,,,,,,
126,2100,,,,,,,,
127,2100,,,,,,,,
128,6350.5,,,,,,,,
129,6350.5,,,,,,,,
130,4700.5,,,,,,,,
131,2100,,,,,,,,
132,3300.5,,,,,,,,
133,6350.5,,,,,,,,
134,3300.5,,,,,,,,
135,3300.5,,,,,,,,
136,0,,,,,,,,
137,2100,,,,,,,,
138,4700.5,,,,,,,,
139,6350.5,,,,,,,,
140,3300.5,,,,,,,,
141,3300.5,,,,,,,,
142,3300.5,,,,,,,,
143,2100,,,,,,,,
144,0,,,,,,,,
