,0
0,7457.1035
1,6582.8926
2,7896.43
3,5314.6846
4,5732.586
5,1815.4171
6,6853.4595
7,-341.79117
8,8777.453
9,3104.0208
10,5968.718
11,-145.13385
12,1812.3622
13,-436.07635
14,6445.9004
15,745.70105
16,481.47235
17,2253.2114
18,6429.0415
19,4454.424
20,-393.39212
21,1168.4087
22,4217.7163
23,86.92073
24,-290.48764
25,4220.4185
26,-144.15256
27,3245.2593
28,2955.7969
29,1403.003
30,8246.793
31,13.475552
32,2205.4207
33,1844.9313
34,1384.3638
35,-370.57324
36,2912.6528
37,-251.83766
38,6429.0415
39,-115.62391
40,-48.936924
41,480.60324
42,4748.665
43,5249.067
44,3110.0413
45,-265.50613
46,-169.38277
47,-434.20996
48,-246.78508
49,-406.75195
50,-262.50238
51,6760.5347
52,-380.66434
53,6356.678
54,5054.186
55,-434.6151
56,570.1264
57,-349.8854
58,-165.56406
59,-292.52914
60,2835.5508
61,-373.74152
62,3672.01
63,3957.47
64,-334.5147
65,6272.346
66,-344.60916
67,5326.337
68,1404.6869
69,-374.69904
70,36.031105
71,3746.8826
72,-347.8029
73,730.2361
74,4686.96
75,-180.11655
76,2828.2366
77,-292.2318
78,5141.0674
79,3752.6475
80,3626.2617
81,-331.85507
82,3163.5598
83,3379.723
84,4838.7095
85,881.9958
86,-291.83585
87,2748.3054
88,8425.307
89,-326.05676
90,5319.8633
91,5932.571
92,5224.64
93,3197.5051
94,4986.3833
95,5651.7046
96,5971.1807
97,7395.022
98,-204.54199
99,4330.028
100,7266.8223
101,3640.4988
102,2208.6506
103,1376.1603
104,3055.3508
105,-352.58862
106,4841.467
107,-369.13513
108,-370.57324
109,468.3527
110,6172.3784
111,4057.2146
112,7353.65
113,5431.1685
114,4149.1826
115,4524.1816
116,3351.1575
117,1699.0142
118,6923.03
119,5697.931
120,-290.79367
121,1731.797
122,3220.9229
123,7308.6274
124,6969.9995
125,4104.006
126,710.767
127,266.61612
128,6525.7134
129,6571.531
130,4900.6406
131,2979.1462
132,3271.0151
133,7716.131
134,3209.2136
135,2938.9055
136,3.5778143
137,1299.0692
138,4955.897
139,7622.048
140,4376.337
141,4399.2593
142,3865.5776
143,1718.1313
144,-289.22202
145,4450.136
146,2841.1077
147,5912.0415
148,-406.75195
149,-298.42584
150,7395.022
151,3824.2502
