,0
0,6072.491
1,5568.5166
2,6463.0645
3,3925.3943
4,5168.021
5,2326.874
6,4956.164
7,-143.40999
8,6875.169
9,3630.9429
10,5034.377
11,-45.625534
12,2058.1135
13,-185.94337
14,5245.5234
15,1887.4305
16,1919.5422
17,2897.349
18,5168.7095
19,4213.4863
20,-107.880104
21,2291.4292
22,3692.4048
23,-37.39343
24,-36.00919
25,3763.5771
26,-18.557688
27,3201.1475
28,3134.6409
29,3289.055
30,6579.3374
31,-27.606077
32,2576.2678
33,2075.8098
34,2191.7966
35,-136.63211
36,3380.0435
37,-133.05238
38,5168.7095
39,-66.28027
40,-87.55948
41,373.54782
42,3605.4187
43,4359.546
44,2968.5078
45,-126.87686
46,-108.04619
47,-169.59116
48,-115.04643
49,-147.65907
50,-116.75516
51,5347.9087
52,-148.10623
53,4380.676
54,3811.5747
55,-196.553
56,2167.813
57,-147.43608
58,-117.377144
59,-57.605343
60,3331.009
61,-92.09153
62,3355.3887
63,3294.4607
64,-118.790405
65,3659.196
66,-141.56093
67,4412.783
68,2543.7754
69,-150.68042
70,7.242544
71,3388.3901
72,-76.56362
73,1704.5133
74,3288.3638
75,-90.20191
76,3030.7476
77,-58.15675
78,4344.0874
79,2975.8406
80,3447.5693
81,-134.59683
82,3367.478
83,3210.577
84,3790.0862
85,2003.2745
86,-118.927315
87,3234.506
88,6497.967
89,-171.55974
90,4291.8276
91,3634.198
92,3740.727
93,3480.0303
94,4188.8154
95,3471.955
96,4430.033
97,5787.172
98,-99.26474
99,3659.3328
100,5874.895
101,3152.043
102,2877.0576
103,2410.7903
104,3488.6992
105,-132.20712
106,3986.777
107,-145.63063
108,-136.63211
109,1359.2732
110,3644.479
111,3467.2065
112,4743.6284
113,3491.7126
114,3082.7905
115,3398.382
116,2994.598
117,2440.4077
118,5671.5312
119,3615.0522
120,-125.746895
121,2977.1487
122,3315.6062
123,4651.2896
124,5550.572
125,4087.4902
126,1882.9769
127,1249.1383
128,5447.5605
129,5205.6465
130,4107.938
131,3101.6787
132,3051.6672
133,6259.7524
134,3398.7964
135,3134.5562
136,-17.766977
137,3540.4983
138,4663.2363
139,6078.265
140,3530.6995
141,3150.5757
142,2988.3398
143,2210.1543
144,-130.04344
145,4213.161
146,2908.6675
147,3558.215
148,-147.65907
149,-125.676
150,5787.172
151,3716.7778
152,5711.4077
153,4146.348
154,-91.29998
155,-15.429373
156,-57.077984
157,-162.24197
158,3095.0906
159,3615.0522
160,3824.6152
161,3058.334
162,5873.5664
163,4798.913
164,-117.25819
165,-127.92393
166,1111.7129
167,5023.4424
168,2470.9644
169,6179.263
170,3279.786
171,5793.818
172,3167.4736
173,-143.95131
174,3057.599
175,3187.3623
176,3353.7146
177,-69.60912
178,814.864
179,3692.5125
180,2987.3853
181,1111.6117
182,-94.31268
183,7.6719646
184,3443.922
185,4041.861
186,-126.87686
187,6890.401
188,3937.9595
189,4864.747
190,-156.78787
191,3353.6353
192,2175.0742
193,2910.0244
194,5559.528
195,4175.021
196,-42.694294
197,3317.2527
198,-151.72412
199,3643.5056
200,3010.4216
201,-133.7242
202,3657.1711
203,5293.104
204,3077.9658
205,3791.9219
206,4385.2295
207,2207.1606
208,3775.657
209,2691.6802
210,4290.4985
211,-140.05095
212,2817.3442
213,3161.8318
214,2477.154
215,-133.7242
216,3861.0173
217,5830.1455
218,3462.6025
219,3158.2305
220,3208.3262
221,3330.544
222,1377.1527
223,2930.9868
224,5581.0137
225,-165.23042
226,4956.164
227,3331.6985
228,4004.9575
229,-11.854464
230,6157.041
231,4294.726
232,2636.7292
233,1418.6152
234,2979.0842
235,2943.6052
236,-81.83091
237,-17.766977
238,3506.5364
239,2928.6802
240,3320.6772
241,-106.37301
242,3843.549
243,1114.8474
244,1690.4652
245,4838.7915
246,-112.36869
247,2761.7676
248,5.14736
249,3056.1226
250,3003.001
251,-81.16983
252,3036.1555
253,3843.549
254,6313.299
255,4266.853
256,3533.407
257,3423.468
258,2207.1606
259,3270.3684
260,4403.7188
261,3660.056
262,-121.03834
263,2419.5835
264,3600.0552
265,3259.6575
266,3996.2415
267,3105.2773
268,2555.1274
269,2753.8416
270,-123.35715
271,4232.092
272,3271.4165
273,4984.035
274,1444.524
275,4217.4956
276,3139.4526
277,-113.951866
278,3650.4658
279,3184.9194
280,4109.0625
281,-63.209736
282,5759.298
283,5650.161
284,3945.1113
285,3169.0222
286,4657.356
287,2384.6143
288,6.437872
289,3672.0579
290,3740.727
291,2058.1135
292,-110.537796
293,3210.027
294,5426.963
295,3526.574
296,-41.802654
297,3035.5837
298,3285.2693
299,-34.02
300,3861.0173
301,5021.5547
302,3711.3289
303,3149.3774
304,3673.97
305,3210.725
306,3802.2915
307,463.3117
308,4079.8958
309,-164.4833
310,2988.7407
311,3182.1306
312,-187.6879
313,3028.6814
314,4664.2607
315,342.87622
316,-152.72281
317,-107.77836
318,-137.82784
319,-125.46332
320,1618.6871
321,-130.17188
322,3165.8286
323,5759.298
324,3510.068
325,-99.26474
326,4738.436
327,5587.1206
328,2714.8357
329,-54.703354
330,3553.3694
331,2719.0657
332,-122.54492
333,2945.3667
334,4125.16
335,4533.74
336,4453.989
337,3121.241
338,4521.379
339,3993.4868
340,3285.1504
341,3711.3289
342,-72.98783
343,48.84325
344,3211.141
345,3450.5933
346,-12.616264
347,4237.1772
348,4250.9517
349,4322.602
350,5367.8125
351,-107.880104
352,6334.785
353,2388.3884
354,2576.2678
355,3572.9324
356,5322.1426
357,7081.028
358,3572.9324
359,-39.001225
360,-158.82181
361,3141.5632
362,7276.8677
363,3325.564
364,3869.646
365,5040.8286
366,-67.126724
367,4407.9214
368,7.1907177
369,5935.374
370,2498.8179
371,2615.1714
372,4614.3335
373,-147.65907
374,-75.78229
375,3176.3533
376,2863.7676
377,5447.0303
378,3097.2356
379,2926.3652
380,1359.2732
381,680.0152
382,3692.4048
383,2831.711
384,2033.301
385,3264.9492
386,-176.64719
387,5439.3193
388,3273.9736
389,-96.0493
390,3099.9421
391,3358.3684
392,3206.8843
393,4913.191
394,4683.212
395,3645.8813
396,1844.9213
397,-127.37515
398,707.0275
399,5630.326
400,2856.144
401,-148.04152
402,4423.649
403,5879.5015
404,5935.374
405,3070.5674
406,6157.041
407,3664.2239
408,5759.298
409,2105.3032
410,3764.137
411,4.099783
412,3817.0215
413,3187.3623
414,4908.935
415,2115.376
416,7276.8677
417,4616.3877
418,-18.898241
419,4580.4443
420,2889.2014
421,-126.417305
422,-116.87885
423,2271.5532
424,5168.7095
425,2877.0576
426,1951.2124
427,3455.261
428,2957.0808
429,101.606255
430,-41.807438
431,3867.4758
432,4473.068
433,-160.26688
434,3597.286
435,3021.0337
436,-178.2179
437,-19.689821
438,-87.55948
439,4636.752
440,2978.526
441,4595.55
442,3802.345
443,3659.3328
444,-58.66109
445,4676.6294
446,3550.1697
447,3550.2947
448,4816.2905
449,3173.1658
450,3491.7126
451,12.9722805
452,4634.841
453,3196.4272
454,4558.9575
455,-168.38121
456,-172.227
457,5529.971
458,3704.2556
459,3082.76
460,3550.2947
461,4397.476
462,4028.6323
463,-83.87032
464,4035.6592
465,3203.1804
466,3562.4446
467,3077.9094
468,3644.479
469,-113.1603
470,-53.91173
471,5666.963
472,3844.4106
473,3854.345
474,4614.3335
475,1112.4205
476,5026.5835
477,3134.6409
478,3366.4438
479,-156.82303
480,2029.8915
481,-173.08656
482,4332.676
483,3057.9277
484,3447.1775
485,2090.9653
486,4345.9346
487,3788.4453
488,3616.6128
489,1852.5844
490,1667.2653
491,-127.37515
492,-63.2644
493,6114.3193
494,3642.4539
495,-192.13403
496,-3.57049
497,4359.546
498,5385.7524
499,2968.0686
500,4812.8916
501,4112.8677
502,3370.2112
503,3870.2334
504,3307.076
505,3060.001
506,5142.509
507,2481.4983
508,-74.98055
509,3039.5515
510,4213.161
511,4637.83
512,3356.264
513,-154.72017
514,2928.6802
515,4544.0747
516,21.965305
517,3290.5847
518,3486.7012
519,4614.703
520,-87.55948
521,4616.149
522,5581.0137
523,3590.2705
524,3470.2183
525,3022.4478
526,-141.43747
527,5143.824
528,2003.2745
529,6573.5176
530,4260.4707
531,5874.895
532,3443.9216
533,478.64743
534,3876.4326
535,2437.3103
536,3864.03
537,3176.5195
538,2747.758
539,-151.72412
540,2361.7612
541,5197.0635
542,4260.4707
543,4445.1377
544,3273.9736
545,2829.1597
546,-135.06781
547,-120.671005
548,4879.9976
549,6993.018
550,4981.199
551,-185.94337
552,3558.215
553,2708.4578
554,-163.21013
555,2194.9497
556,3766.7693
557,3007.243
558,4842.3447
559,2248.6768
560,4007.381
561,4415.1177
562,3270.0483
563,3015.0088
564,-75.77206
565,4683.212
566,4308.602
567,-63.882946
568,3441.563
569,2479.0027
570,3761.2234
571,5780.782
572,4152.3286
573,4722.095
574,-154.75534
575,-128.21103
576,3527.1887
577,2416.2854
578,-17.766977
579,3062.821
580,2734.7683
581,3426.9988
582,6707.6353
583,4858.062
584,3015.217
585,-38.383877
586,2886.2556
587,3500.5876
588,6272.342
589,4863.8306
590,4566.7666
591,2638.724
592,-107.8343
593,2248.6768
594,6291.808
595,-149.65645
596,4884.81
597,6537.1255
598,2973.893
599,5233.7983
600,3158.2305
601,3385.037
602,3615.0522
603,-137.49416
604,3777.648
605,4514.468
606,-149.76192
607,-163.11615
608,-83.3791
609,-150.65834
610,2485.4805
611,-94.59516
612,4566.7666
613,-105.41276
614,6890.401
615,3339.7197
616,2959.0393
617,3455.2158
618,1526.7987
619,5808.655
620,4146.649
621,2755.2935
622,2638.724
623,3503.9387
624,3382.8174
625,5854.295
626,-163.11615
627,6410.705
628,-131.48207
629,-40.48624
630,2104.944
631,-119.007164
632,-16.391317
633,1907.8136
634,3450.5933
635,3758.148
636,4237.1772
637,3533.6694
638,1262.2849
639,2145.9539
640,3765.881
641,4159.421
642,-192.7328
643,4608.315
644,3886.0815
645,3276.1396
646,2574.1934
647,4273.2407
648,3082.76
649,-3.57049
650,4819.5166
651,3380.4946
652,-150.76062
653,-83.3791
654,2404.1003
655,3312.1191
656,3783.7002
657,566.8674
658,3356.264
659,2793.8376
660,5607.9956
661,5954.5376
662,4959.7495
663,1749.954
664,4959.7495
665,2980.5618
666,4984.035
667,4110.061
668,-163.7362
669,2268.9175
670,4125.16
671,2940.802
672,-20.871515
673,4446.7197
674,2742.803
675,7319.078
676,3051.399
677,5995.8535
678,1115.6569
679,-147.43608
680,3811.1206
681,3161.8318
682,2928.6802
683,3698.09
684,3017.229
685,3616.6128
686,5385.7524
687,2889.645
688,5955.979
689,2834.9526
690,3442.367
691,3383.6663
692,5102.6357
693,3248.3328
694,-116.75516
695,2968.6868
696,3122.8596
697,4697.2334
698,3728.7163
699,3697.956
700,5543.9985
701,3612.836
702,2979.5325
703,3240.4253
704,-132.27802
705,-125.53421
706,2747.758
707,2583.9846
708,354.7456
709,-108.71327
710,3051.953
711,2975.8406
712,1821.7963
713,2929.75
714,4737.109
715,5840.24
716,2959.0393
717,2966.4614
718,4488.113
719,7023.2466
720,1967.233
721,4910.4873
722,4269.8965
723,1993.031
724,1038.5985
725,3244.9485
726,4273.2407
727,4480.23
728,-159.52585
729,-115.53494
730,3028.554
731,2998.5732
732,-33.053425
733,2827.0923
734,-145.80104
735,3151.0347
736,6261.0283
737,2529.6565
738,-110.7856
739,4738.436
740,3937.8005
741,3609.2888
742,4446.7197
743,2284.4573
744,2463.0244
745,-168.04166
746,3394.023
747,3499.8408
748,2066.0056
749,2357.3425
750,4148.937
751,4137.9336
752,5716.321
753,3789.276
754,4697.2334
755,2402.8486
756,3203.2144
757,-143.4958
758,-113.290146
759,4453.989
760,2977.2327
761,4423.649
762,566.8674
763,-150.28801
764,3181.8345
765,3506.1594
766,5873.1167
767,3576.0603
768,2711.5925
769,4615.702
770,-42.694294
771,-144.08179
772,5042.1562
773,2951.224
774,3556.361
775,-150.72545
776,-36.634007
777,-136.01303
778,5894.174
779,-165.97754
780,2908.6675
781,7319.078
782,3510.068
783,2754.3862
784,4819.3657
785,3191.4456
786,2754.554
787,5733.34
788,3697.956
789,-93.41236
790,3931.7803
791,5319.1143
792,1576.3837
793,4535.069
794,-132.54297
795,4016.1775
796,3201.1125
797,2462.9253
798,2586.0505
799,5716.321
800,3676.2642
801,6545.476
802,-145.80104
803,297.94653
804,3952.9458
805,3139.5935
806,3413.0957
807,1034.4951
808,3349.6738
809,3196.132
810,4757.7095
811,3093.9329
812,6179.263
813,-110.082245
814,-120.54371
815,1929.7397
816,3260.259
817,4175.021
818,2317.9204
819,2897.349
820,4849.265
821,3502.7798
822,3202.6099
823,3986.777
824,3326.452
825,4984.035
826,2998.5732
827,3269.9998
828,-13.20315
829,3886.0815
830,-36.634007
831,-150.68042
832,3657.1711
833,3510.068
834,3628.6423
835,288.81512
836,10.794195
837,3716.7778
838,3355.3887
839,-161.49487
840,3244.9485
841,3176.5195
842,-142.38046
843,4209.416
844,6464.792
845,354.7456
846,1111.6117
847,5954.649
848,2685.54
849,3432.582
850,379.47122
851,3628.9756
852,4716.5044
853,2230.24
854,-108.71327
855,3087.234
856,3022.4478
857,3077.9094
858,-118.790405
859,3455.2227
860,2996.4368
861,4580.4443
862,2801.8203
863,3450.5933
864,-16.391317
865,5076.3716
866,4949.781
867,-106.88084
868,3527.1887
869,3289.055
870,2099.082
871,2921.097
872,2635.1904
873,-131.44571
874,4371.5796
875,2297.7737
876,-108.369514
877,4717.8335
878,-151.68896
879,244.38182
880,3764.137
881,-117.377144
882,-149.65645
883,2956.2346
884,5020.224
885,5202.992
886,3356.146
887,-159.69815
888,2967.3586
889,6367.936
890,15.150442
891,3715.203
892,3285.656
893,138.43976
894,-83.773895
895,1831.035
896,1618.6871
897,3286.144
898,2910.0244
899,-169.59116
900,3561.6372
901,-145.92445
902,4756.3945
903,120.95312
904,4474.59
905,3123.905
906,4078.5261
907,2357.3018
908,1885.4042
909,5819.3706
910,2861.1494
911,-18.106684
912,-132.13623
913,3891.1353
914,2240.288
915,-107.77836
916,5553.144
917,2983.9758
918,2519.6475
919,2952.5273
920,5351.1875
921,4137.3867
922,2272.394
923,6768.1187
924,4287.0747
925,6564.749
926,3341.7034
927,3200.9966
928,2406.6274
929,4175.021
930,3129.9993
931,3490.775
932,-152.79315
933,-152.72281
934,2574.1934
935,2817.3442
936,3912.2844
937,-147.65907
938,4311.1016
939,-36.198147
940,3450.5996
941,3654.44
942,5529.971
943,4430.033
944,3430.0366
945,4251.754
946,547.2698
947,4958.5073
948,2971.5122
949,-8.028574
950,4397.476
951,3324.3433
952,-41.789303
953,3346.1423
954,3600.5754
955,-156.78787
956,6334.785
957,3220.5083
958,-119.007164
959,2776.8108
960,5324.986
961,3845.2183
962,2838.582
963,-107.379105
964,3308.414
965,2477.9297
966,7276.8677
967,-48.430355
968,5389.9604
969,3058.6775
970,-139.13226
971,1906.6857
972,2614.7563
973,3589.1187
974,-154.79051
975,-187.90125
976,3214.711
977,5751.285
978,4554.4834
979,3075.7026
980,3395.041
981,4372.907
982,3718.9014
983,-137.49416
984,1115.6569
985,1444.524
986,3181.8345
987,4084.2542
988,1.8619593
989,5543.9985
990,4533.74
991,5954.649
992,3558.215
993,-72.98783
994,-123.47225
995,-148.69293
996,-39.001225
997,-131.48207
998,5387.0815
999,-134.45506
1000,3203.1804
1001,3521.21
1002,1418.6152
1003,3811.5747
1004,2440.4077
1005,2526.1182
1006,1867.5787
1007,5091.4727
1008,3897.5208
1009,4594.2183
1010,3864.9404
1011,-146.62523
1012,5304.016
1013,5448.89
1014,3206.1333
1015,3374.5151
1016,2954.7458
1017,2860.3457
1018,-10.771494
1019,-28.286886
1020,-3.5830784
1021,4039.2144
1022,3499.8408
1023,3124.8796
1024,5347.9087
1025,639.2044
1026,4075.8027
1027,6300.9033
1028,2891.5337
1029,4884.81
1030,1803.4988
1031,3380.4946
1032,3969.7703
1033,3099.9421
1034,2561.579
1035,5205.2935
1036,3356.146
1037,4012.5762
1038,3085.0127
1039,-30.526892
1040,1910.5671
1041,-134.38417
1042,3543.7134
1043,3666.077
1044,3456.7393
1045,3179.0046
1046,-192.51945
1047,2641.9187
1048,3235.429
1049,3857.7905
1050,4188.8154
1051,3028.4426
1052,373.54782
1053,3327.2568
1054,4037.5928
1055,5584.6465
1056,6389.0386
1057,2564.1353
1058,-153.75668
1059,2973.893
1060,3697.956
1061,2470.9644
1062,-81.584816
1063,1265.1233
1064,2127.7742
1065,3093.9329
1066,-130.17188
1067,2905.0757
1068,3165.556
1069,4045.5527
1070,3928.838
1071,5375.7515
1072,7276.8677
1073,6199.476
1074,2986.9802
1075,3652.4663
1076,2207.1606
1077,3326.4468
1078,-145.96677
1079,5553.144
1080,3677.38
1081,1907.8136
1082,4046.5579
1083,4474.59
1084,4685.5493
1085,2284.4573
1086,-109.82648
1087,-150.28801
1088,1057.7494
1089,3052.1587
1090,-52.844814
1091,2789.7056
1092,3015.217
1093,4392.1797
1094,4303.445
1095,3634.198
1096,-93.41236
1097,3542.716
1098,6993.018
1099,6036.2974
1100,4657.678
1101,-129.5564
1102,3029.6628
1103,2966.5435
1104,4371.5796
1105,2801.8203
1106,3891.7375
1107,3269.9998
1108,4750.011
1109,4928.29
1110,1910.5671
1111,4614.822
1112,3136.772
1113,1418.6152
1114,3528.9448
1115,3447.5693
1116,4479.395
1117,-154.54129
1118,3131.8818
1119,2048.4314
1120,2654.6245
1121,-109.878624
1122,-36.800793
1123,3613.4116
1124,3092.7793
1125,3227.6565
1126,5224.9194
1127,3528.7878
1128,5628.871
1129,-104.75459
1130,5353.3745
1131,-16.391317
1132,2620.9458
1133,2782.715
1134,2640.1775
1135,3783.2783
1136,2725.2651
1137,1114.8474
1138,4591.7656
1139,7086.568
1140,3370.2112
1141,2250.4731
1142,2515.412
1143,3237.02
1144,1883.692
1145,-125.746895
1146,3264.9492
1147,5143.824
1148,3579.0522
1149,5543.9985
1150,2365.979
1151,2829.1597
1152,5547.9185
1153,3484.7776
1154,-146.04791
1155,4513.1353
1156,4430.6133
1157,4879.8906
1158,6057.6606
1159,-154.75534
1160,4309.8306
1161,5428.289
1162,-103.300766
1163,6199.476
1164,-135.60918
1165,-192.7328
1166,3878.9412
1167,-129.95918
1168,-130.71054
1169,3032.0334
1170,3009.662
1171,-38.285458
1172,3680.0007
1173,4781.9453
1174,2372.8472
1175,-39.040417
1176,3612.836
1177,2494.1936
1178,5914.773
1179,3210.6296
1180,-131.87589
1181,3015.5996
1182,3407.6519
1183,4941.064
1184,4290.4985
1185,2827.0923
1186,5716.321
1187,2586.3345
1188,3111.6816
1189,3015.0088
1190,4245.3687
1191,3716.7778
1192,1398.2562
1193,3528.7878
1194,4219.6885
1195,7.6719646
1196,-157.20366
1197,3488.2854
1198,3844.9636
1199,3442.1655
1200,3060.4443
1201,4136.975
1202,2119.6812
1203,3201.1125
1204,5446.234
1205,2440.4106
1206,6367.1914
1207,1425.0673
1208,3206.8843
1209,2810.7734
1210,4657.356
1211,3210.6296
1212,4428.719
1213,4716.5044
1214,4756.3945
1215,2755.2935
1216,-80.691765
1217,-180.8898
1218,3743.0693
1219,-93.96044
1220,3881.8455
1221,4238.9814
1222,3258.2314
1223,2217.8745
1224,5042.937
1225,11.478285
1226,2186.5237
1227,3891.1353
1228,3077.9658
1229,6443.7925
1230,3320.3064
1231,3590.2705
1232,2329.2197
1233,3471.955
1234,2320.1663
1235,-111.212776
1236,1886.3676
1237,2981.6672
1238,3882.4187
1239,4848.73
1240,1576.3837
1241,1720.5178
1242,4365.576
1243,2943.6052
1244,363.24585
1245,3122.6335
1246,566.8674
1247,5094.815
1248,5071.981
1249,7.959854
1250,1099.5785
1251,-202.39594
1252,-95.99781
1253,4331.318
1254,2958.8416
1255,3469.9275
1256,1907.8136
1257,775.29456
1258,-132.3489
1259,3685.9375
1260,354.7456
1261,-112.36869
1262,3940.4934
1263,4088.4614
1264,4642.5776
1265,3707.1787
1266,3510.9775
1267,2613.097
1268,2066.0056
1269,3810.6199
1270,6259.7524
1271,-152.71666
1272,5460.8086
1273,-158.27187
1274,5694.836
1275,3015.0088
1276,946.03546
1277,-75.33529
1278,-135.73962
1279,2943.263
1280,2529.2893
1281,7.596234
1282,2670.441
1283,5224.9194
1284,3078.6143
1285,3532.474
1286,3443.922
1287,5183.8066
1288,3506.1594
1289,4309.8306
1290,5101.018
1291,5407.688
1292,-163.7362
1293,2921.308
1294,3388.3901
1295,2879.772
1296,3547.4226
1297,5895.501
1298,2966.5435
1299,2908.6675
1300,-138.83775
1301,6085.657
1302,2217.8745
1303,3775.1143
1304,5852.968
1305,-160.44528
1306,-30.526892
1307,37.231014
1308,2104.944
1309,3093.9329
1310,4728.5244
1311,548.89154
1312,-9.417826
1313,4879.9976
1314,2995.4272
1315,5223.5913
1316,3952.9458
1317,2975.8406
1318,4819.3657
1319,6066.012
1320,6790.7383
1321,2988.7407
1322,4714.6274
1323,3940.4934
1324,-123.28628
1325,3590.7637
1326,1895.6294
1327,3843.549
1328,3206.1333
1329,-116.87885
1330,3103.1108
1331,-134.93736
1332,1540.2476
1333,3716.7778
1334,-153.86343
1335,5005.5273
1336,2602.157
1337,3398.7964
1338,2520.9978
