,0
0,6072.491
1,5568.5166
2,6463.0645
3,3925.3943
4,5168.021
5,2326.874
6,4956.164
7,0
8,6875.169
9,3630.9429
10,5034.377
11,0
12,2058.1135
13,0
14,5245.5234
15,1887.4305
16,1919.5422
17,2897.349
18,5168.7095
19,4213.4863
20,0
21,2291.4292
22,3692.4048
23,0
24,0
25,3763.5771
26,0
27,3201.1475
28,3134.6409
29,3289.055
30,6579.3374
31,0
32,2576.2678
33,2075.8098
34,2191.7966
35,0
36,3380.0435
37,0
38,5168.7095
39,0
40,0
41,373.54782
42,3605.4187
43,4359.546
44,2968.5078
45,0
46,0
47,0
48,0
49,0
50,0
51,5347.9087
52,0
53,4380.676
54,3811.5747
55,0
56,2167.813
57,0
58,0
59,0
60,3331.009
61,0
62,3355.3887
63,3294.4607
64,0
65,3659.196
66,0
67,4412.783
68,2543.7754
69,0
70,7.242544
71,3388.3901
72,0
73,1704.5133
74,3288.3638
75,0
76,3030.7476
77,0
78,4344.0874
79,2975.8406
80,3447.5693
81,0
82,3367.478
83,3210.577
84,3790.0862
85,2003.2745
86,0
87,3234.506
88,6497.967
89,0
90,4291.8276
91,3634.198
92,3740.727
93,3480.0303
94,4188.8154
95,3471.955
96,4430.033
97,5787.172
98,0
99,3659.3328
100,5874.895
101,3152.043
102,2877.0576
103,2410.7903
104,3488.6992
105,0
106,3986.777
107,0
108,0
109,1359.2732
110,3644.479
111,3467.2065
112,4743.6284
113,3491.7126
114,3082.7905
115,3398.382
116,2994.598
117,2440.4077
118,5671.5312
119,3615.0522
120,0
121,2977.1487
122,3315.6062
123,4651.2896
124,5550.572
125,4087.4902
126,1882.9769
127,1249.1383
128,5447.5605
129,5205.6465
130,4107.938
131,3101.6787
132,3051.6672
133,6259.7524
134,3398.7964
135,3134.5562
136,0
137,3540.4983
138,4663.2363
139,6078.265
140,3530.6995
141,3150.5757
142,2988.3398
143,2210.1543
144,0
145,4213.161
146,2908.6675
147,3558.215
148,0
149,0
150,5787.172
151,3716.7778
152,5711.4077
153,4146.348
154,0
155,0
156,0
157,0
158,3095.0906
159,3615.0522
160,3824.6152
161,3058.334
162,5873.5664
163,4798.913
164,0
165,0
166,1111.7129
167,5023.4424
168,2470.9644
169,6179.263
170,3279.786
171,5793.818
172,3167.4736
173,0
174,3057.599
175,3187.3623
176,3353.7146
177,0
178,814.864
179,3692.5125
180,2987.3853
181,1111.6117
182,0
183,7.6719646
184,3443.922
185,4041.861
186,0
187,6890.401
188,3937.9595
189,4864.747
190,0
191,3353.6353
192,2175.0742
193,2910.0244
194,5559.528
195,4175.021
196,0
197,3317.2527
198,0
199,3643.5056
200,3010.4216
201,0
202,3657.1711
203,5293.104
204,3077.9658
205,3791.9219
206,4385.2295
207,2207.1606
208,3775.657
209,2691.6802
210,4290.4985
211,0
212,2817.3442
213,3161.8318
214,2477.154
215,0
216,3861.0173
217,5830.1455
218,3462.6025
219,3158.2305
220,3208.3262
221,3330.544
222,1377.1527
223,2930.9868
224,5581.0137
225,0
226,4956.164
227,3331.6985
228,4004.9575
229,0
230,6157.041
231,4294.726
232,2636.7292
233,1418.6152
234,2979.0842
235,2943.6052
236,0
237,0
238,3506.5364
239,2928.6802
240,3320.6772
241,0
242,3843.549
243,1114.8474
244,1690.4652
245,4838.7915
246,0
247,2761.7676
248,5.14736
249,3056.1226
250,3003.001
251,0
252,3036.1555
253,3843.549
254,6313.299
255,4266.853
256,3533.407
257,3423.468
258,2207.1606
259,3270.3684
260,4403.7188
261,3660.056
262,0
263,2419.5835
264,3600.0552
265,3259.6575
266,3996.2415
267,3105.2773
268,2555.1274
269,2753.8416
270,0
271,4232.092
272,3271.4165
273,4984.035
274,1444.524
275,4217.4956
276,3139.4526
277,0
278,3650.4658
279,3184.9194
280,4109.0625
281,0
282,5759.298
283,5650.161
284,3945.1113
285,3169.0222
286,4657.356
287,2384.6143
288,6.437872
289,3672.0579
290,3740.727
291,2058.1135
292,0
293,3210.027
294,5426.963
295,3526.574
296,0
297,3035.5837
298,3285.2693
299,0
300,3861.0173
301,5021.5547
302,3711.3289
303,3149.3774
304,3673.97
305,3210.725
306,3802.2915
307,463.3117
308,4079.8958
309,0
310,2988.7407
311,3182.1306
312,0
313,3028.6814
314,4664.2607
315,342.87622
316,0
317,0
318,0
319,0
320,1618.6871
321,0
322,3165.8286
323,5759.298
324,3510.068
325,0
326,4738.436
327,5587.1206
328,2714.8357
329,0
330,3553.3694
331,2719.0657
332,0
333,2945.3667
334,4125.16
335,4533.74
336,4453.989
337,3121.241
338,4521.379
339,3993.4868
340,3285.1504
341,3711.3289
342,0
343,48.84325
344,3211.141
345,3450.5933
346,0
347,4237.1772
348,4250.9517
349,4322.602
350,5367.8125
351,0
352,6334.785
353,2388.3884
354,2576.2678
355,3572.9324
356,5322.1426
357,7081.028
358,3572.9324
359,0
360,0
361,3141.5632
362,7200
363,3325.564
364,3869.646
365,5040.8286
366,0
367,4407.9214
368,7.1907177
369,5935.374
370,2498.8179
371,2615.1714
372,4614.3335
373,0
374,0
375,3176.3533
376,2863.7676
377,5447.0303
378,3097.2356
379,2926.3652
380,1359.2732
381,680.0152
382,3692.4048
383,2831.711
384,2033.301
385,3264.9492
386,0
387,5439.3193
388,3273.9736
389,0
390,3099.9421
391,3358.3684
392,3206.8843
393,4913.191
394,4683.212
395,3645.8813
396,1844.9213
397,0
398,707.0275
399,5630.326
400,2856.144
401,0
402,4423.649
403,5879.5015
404,5935.374
405,3070.5674
406,6157.041
407,3664.2239
408,5759.298
409,2105.3032
410,3764.137
411,4.099783
412,3817.0215
413,3187.3623
414,4908.935
415,2115.376
416,7200
417,4616.3877
418,0
419,4580.4443
420,2889.2014
421,0
422,0
423,2271.5532
424,5168.7095
425,2877.0576
426,1951.2124
427,3455.261
428,2957.0808
429,101.606255
430,0
431,3867.4758
432,4473.068
433,0
434,3597.286
435,3021.0337
436,0
437,0
438,0
439,4636.752
440,2978.526
441,4595.55
442,3802.345
443,3659.3328
444,0
445,4676.6294
446,3550.1697
447,3550.2947
448,4816.2905
449,3173.1658
450,3491.7126
451,12.9722805
452,4634.841
453,3196.4272
454,4558.9575
455,0
456,0
457,5529.971
458,3704.2556
459,3082.76
460,3550.2947
461,4397.476
462,4028.6323
463,0
464,4035.6592
465,3203.1804
466,3562.4446
467,3077.9094
468,3644.479
469,0
470,0
471,5666.963
472,3844.4106
473,3854.345
474,4614.3335
475,1112.4205
476,5026.5835
477,3134.6409
478,3366.4438
479,0
480,2029.8915
481,0
482,4332.676
483,3057.9277
484,3447.1775
485,2090.9653
486,4345.9346
487,3788.4453
488,3616.6128
489,1852.5844
490,1667.2653
491,0
492,0
493,6114.3193
494,3642.4539
495,0
496,0
497,4359.546
498,5385.7524
499,2968.0686
500,4812.8916
501,4112.8677
502,3370.2112
503,3870.2334
504,3307.076
505,3060.001
506,5142.509
507,2481.4983
508,0
509,3039.5515
510,4213.161
511,4637.83
512,3356.264
513,0
514,2928.6802
515,4544.0747
516,21.965305
517,3290.5847
518,3486.7012
519,4614.703
520,0
521,4616.149
522,5581.0137
523,3590.2705
524,3470.2183
525,3022.4478
526,0
527,5143.824
528,2003.2745
529,6573.5176
530,4260.4707
531,5874.895
532,3443.9216
533,478.64743
534,3876.4326
535,2437.3103
536,3864.03
537,3176.5195
538,2747.758
539,0
540,2361.7612
541,5197.0635
542,4260.4707
543,4445.1377
544,3273.9736
545,2829.1597
546,0
547,0
548,4879.9976
549,6993.018
550,4981.199
551,0
552,3558.215
553,2708.4578
554,0
555,2194.9497
556,3766.7693
557,3007.243
558,4842.3447
559,2248.6768
560,4007.381
561,4415.1177
562,3270.0483
563,3015.0088
564,0
565,4683.212
566,4308.602
567,0
568,3441.563
569,2479.0027
570,3761.2234
571,5780.782
572,4152.3286
573,4722.095
574,0
575,0
576,3527.1887
577,2416.2854
578,0
579,3062.821
580,2734.7683
581,3426.9988
582,6707.6353
583,4858.062
584,3015.217
585,0
586,2886.2556
587,3500.5876
588,6272.342
589,4863.8306
590,4566.7666
591,2638.724
592,0
593,2248.6768
594,6291.808
595,0
596,4884.81
597,6537.1255
598,2973.893
599,5233.7983
600,3158.2305
601,3385.037
602,3615.0522
603,0
604,3777.648
605,4514.468
606,0
607,0
608,0
609,0
610,2485.4805
611,0
612,4566.7666
613,0
614,6890.401
615,3339.7197
616,2959.0393
617,3455.2158
618,1526.7987
619,5808.655
620,4146.649
621,2755.2935
622,2638.724
623,3503.9387
624,3382.8174
625,5854.295
626,0
627,6410.705
628,0
629,0
630,2104.944
631,0
632,0
633,1907.8136
634,3450.5933
635,3758.148
636,4237.1772
637,3533.6694
638,1262.2849
639,2145.9539
640,3765.881
641,4159.421
642,0
643,4608.315
644,3886.0815
645,3276.1396
646,2574.1934
647,4273.2407
648,3082.76
649,0
650,4819.5166
651,3380.4946
652,0
653,0
654,2404.1003
655,3312.1191
656,3783.7002
657,566.8674
658,3356.264
659,2793.8376
660,5607.9956
661,5954.5376
662,4959.7495
663,1749.954
664,4959.7495
665,2980.5618
666,4984.035
667,4110.061
668,0
669,2268.9175
670,4125.16
671,2940.802
672,0
673,4446.7197
674,2742.803
675,7200
676,3051.399
677,5995.8535
678,1115.6569
679,0
680,3811.1206
681,3161.8318
682,2928.6802
683,3698.09
684,3017.229
685,3616.6128
686,5385.7524
687,2889.645
688,5955.979
689,2834.9526
690,3442.367
691,3383.6663
692,5102.6357
693,3248.3328
694,0
695,2968.6868
696,3122.8596
697,4697.2334
698,3728.7163
699,3697.956
700,5543.9985
701,3612.836
702,2979.5325
703,3240.4253
704,0
705,0
706,2747.758
707,2583.9846
708,354.7456
709,0
710,3051.953
711,2975.8406
712,1821.7963
713,2929.75
714,4737.109
715,5840.24
716,2959.0393
717,2966.4614
718,4488.113
719,7023.2466
720,1967.233
721,4910.4873
722,4269.8965
723,1993.031
724,1038.5985
725,3244.9485
726,4273.2407
727,4480.23
728,0
729,0
730,3028.554
731,2998.5732
732,0
733,2827.0923
734,0
735,3151.0347
736,6261.0283
737,2529.6565
738,0
739,4738.436
740,3937.8005
741,3609.2888
742,4446.7197
743,2284.4573
744,2463.0244
745,0
746,3394.023
747,3499.8408
748,2066.0056
749,2357.3425
750,4148.937
751,4137.9336
752,5716.321
753,3789.276
754,4697.2334
755,2402.8486
756,3203.2144
757,0
758,0
759,4453.989
760,2977.2327
761,4423.649
762,566.8674
763,0
764,3181.8345
765,3506.1594
766,5873.1167
767,3576.0603
768,2711.5925
769,4615.702
770,0
771,0
772,5042.1562
773,2951.224
774,3556.361
775,0
776,0
777,0
778,5894.174
779,0
780,2908.6675
781,7200
782,3510.068
783,2754.3862
784,4819.3657
785,3191.4456
786,2754.554
787,5733.34
788,3697.956
789,0
790,3931.7803
791,5319.1143
792,1576.3837
793,4535.069
794,0
795,4016.1775
796,3201.1125
797,2462.9253
798,2586.0505
799,5716.321
800,3676.2642
801,6545.476
802,0
803,297.94653
804,3952.9458
805,3139.5935
806,3413.0957
807,1034.4951
808,3349.6738
809,3196.132
810,4757.7095
811,3093.9329
812,6179.263
813,0
814,0
815,1929.7397
816,3260.259
817,4175.021
818,2317.9204
819,2897.349
820,4849.265
821,3502.7798
822,3202.6099
823,3986.777
824,3326.452
825,4984.035
826,2998.5732
827,3269.9998
828,0
829,3886.0815
830,0
831,0
832,3657.1711
833,3510.068
834,3628.6423
835,288.81512
836,10.794195
837,3716.7778
838,3355.3887
839,0
840,3244.9485
841,3176.5195
842,0
843,4209.416
844,6464.792
845,354.7456
846,1111.6117
847,5954.649
848,2685.54
849,3432.582
850,379.47122
851,3628.9756
852,4716.5044
853,2230.24
854,0
855,3087.234
856,3022.4478
857,3077.9094
858,0
859,3455.2227
860,2996.4368
861,4580.4443
862,2801.8203
863,3450.5933
864,0
865,5076.3716
866,4949.781
867,0
868,3527.1887
869,3289.055
870,2099.082
871,2921.097
872,2635.1904
873,0
874,4371.5796
875,2297.7737
876,0
877,4717.8335
878,0
879,244.38182
880,3764.137
881,0
882,0
883,2956.2346
884,5020.224
885,5202.992
886,3356.146
887,0
888,2967.3586
889,6367.936
890,15.150442
891,3715.203
892,3285.656
893,138.43976
894,0
895,1831.035
896,1618.6871
897,3286.144
898,2910.0244
899,0
900,3561.6372
901,0
902,4756.3945
903,120.95312
904,4474.59
905,3123.905
906,4078.5261
907,2357.3018
908,1885.4042
909,5819.3706
910,2861.1494
911,0
912,0
913,3891.1353
914,2240.288
915,0
916,5553.144
917,2983.9758
918,2519.6475
919,2952.5273
920,5351.1875
921,4137.3867
922,2272.394
923,6768.1187
924,4287.0747
925,6564.749
926,3341.7034
927,3200.9966
928,2406.6274
929,4175.021
930,3129.9993
931,3490.775
932,0
933,0
934,2574.1934
935,2817.3442
936,3912.2844
937,0
938,4311.1016
939,0
940,3450.5996
941,3654.44
942,5529.971
943,4430.033
944,3430.0366
945,4251.754
946,547.2698
947,4958.5073
948,2971.5122
949,0
950,4397.476
951,3324.3433
952,0
953,3346.1423
954,3600.5754
955,0
956,6334.785
957,3220.5083
958,0
959,2776.8108
960,5324.986
961,3845.2183
962,2838.582
963,0
964,3308.414
965,2477.9297
966,7200
967,0
968,5389.9604
969,3058.6775
970,0
971,1906.6857
972,2614.7563
973,3589.1187
974,0
975,0
976,3214.711
977,5751.285
978,4554.4834
979,3075.7026
980,3395.041
981,4372.907
982,3718.9014
983,0
984,1115.6569
985,1444.524
986,3181.8345
987,4084.2542
988,1.8619593
989,5543.9985
990,4533.74
991,5954.649
992,3558.215
993,0
994,0
995,0
996,0
997,0
998,5387.0815
999,0
1000,3203.1804
1001,3521.21
1002,1418.6152
1003,3811.5747
1004,2440.4077
1005,2526.1182
1006,1867.5787
1007,5091.4727
1008,3897.5208
1009,4594.2183
1010,3864.9404
1011,0
1012,5304.016
1013,5448.89
1014,3206.1333
1015,3374.5151
1016,2954.7458
1017,2860.3457
1018,0
1019,0
1020,0
1021,4039.2144
1022,3499.8408
1023,3124.8796
1024,5347.9087
1025,639.2044
1026,4075.8027
1027,6300.9033
1028,2891.5337
1029,4884.81
1030,1803.4988
1031,3380.4946
1032,3969.7703
1033,3099.9421
1034,2561.579
1035,5205.2935
1036,3356.146
1037,4012.5762
1038,3085.0127
1039,0
1040,1910.5671
1041,0
1042,3543.7134
1043,3666.077
1044,3456.7393
1045,3179.0046
1046,0
1047,2641.9187
1048,3235.429
1049,3857.7905
1050,4188.8154
1051,3028.4426
1052,373.54782
1053,3327.2568
1054,4037.5928
1055,5584.6465
1056,6389.0386
1057,2564.1353
1058,0
1059,2973.893
1060,3697.956
1061,2470.9644
1062,0
1063,1265.1233
1064,2127.7742
1065,3093.9329
1066,0
1067,2905.0757
1068,3165.556
1069,4045.5527
1070,3928.838
1071,5375.7515
1072,7200
1073,6199.476
1074,2986.9802
1075,3652.4663
1076,2207.1606
1077,3326.4468
1078,0
1079,5553.144
1080,3677.38
1081,1907.8136
1082,4046.5579
1083,4474.59
1084,4685.5493
1085,2284.4573
1086,0
1087,0
1088,1057.7494
1089,3052.1587
1090,0
1091,2789.7056
1092,3015.217
1093,4392.1797
1094,4303.445
1095,3634.198
1096,0
1097,3542.716
1098,6993.018
1099,6036.2974
1100,4657.678
1101,0
1102,3029.6628
1103,2966.5435
1104,4371.5796
1105,2801.8203
1106,3891.7375
1107,3269.9998
1108,4750.011
1109,4928.29
1110,1910.5671
1111,4614.822
1112,3136.772
1113,1418.6152
1114,3528.9448
1115,3447.5693
1116,4479.395
1117,0
1118,3131.8818
1119,2048.4314
1120,2654.6245
1121,0
1122,0
1123,3613.4116
1124,3092.7793
1125,3227.6565
1126,5224.9194
1127,3528.7878
1128,5628.871
1129,0
1130,5353.3745
1131,0
1132,2620.9458
1133,2782.715
1134,2640.1775
1135,3783.2783
1136,2725.2651
1137,1114.8474
1138,4591.7656
1139,7086.568
1140,3370.2112
1141,2250.4731
1142,2515.412
1143,3237.02
1144,1883.692
1145,0
1146,3264.9492
1147,5143.824
1148,3579.0522
1149,5543.9985
1150,2365.979
1151,2829.1597
1152,5547.9185
1153,3484.7776
1154,0
1155,4513.1353
1156,4430.6133
1157,4879.8906
1158,6057.6606
1159,0
1160,4309.8306
1161,5428.289
1162,0
1163,6199.476
1164,0
1165,0
1166,3878.9412
1167,0
1168,0
1169,3032.0334
1170,3009.662
1171,0
1172,3680.0007
1173,4781.9453
1174,2372.8472
1175,0
1176,3612.836
1177,2494.1936
1178,5914.773
1179,3210.6296
1180,0
1181,3015.5996
1182,3407.6519
1183,4941.064
1184,4290.4985
1185,2827.0923
1186,5716.321
1187,2586.3345
1188,3111.6816
1189,3015.0088
1190,4245.3687
1191,3716.7778
1192,1398.2562
1193,3528.7878
1194,4219.6885
1195,7.6719646
1196,0
1197,3488.2854
1198,3844.9636
1199,3442.1655
1200,3060.4443
1201,4136.975
1202,2119.6812
1203,3201.1125
1204,5446.234
1205,2440.4106
1206,6367.1914
1207,1425.0673
1208,3206.8843
1209,2810.7734
1210,4657.356
1211,3210.6296
1212,4428.719
1213,4716.5044
1214,4756.3945
1215,2755.2935
1216,0
1217,0
1218,3743.0693
1219,0
1220,3881.8455
1221,4238.9814
1222,3258.2314
1223,2217.8745
1224,5042.937
1225,11.478285
1226,2186.5237
1227,3891.1353
1228,3077.9658
1229,6443.7925
1230,3320.3064
1231,3590.2705
1232,2329.2197
1233,3471.955
1234,2320.1663
1235,0
1236,1886.3676
1237,2981.6672
1238,3882.4187
1239,4848.73
1240,1576.3837
1241,1720.5178
1242,4365.576
1243,2943.6052
1244,363.24585
1245,3122.6335
1246,566.8674
1247,5094.815
1248,5071.981
1249,7.959854
1250,1099.5785
1251,0
1252,0
1253,4331.318
1254,2958.8416
1255,3469.9275
1256,1907.8136
1257,775.29456
1258,0
1259,3685.9375
1260,354.7456
1261,0
1262,3940.4934
1263,4088.4614
1264,4642.5776
1265,3707.1787
1266,3510.9775
1267,2613.097
1268,2066.0056
1269,3810.6199
1270,6259.7524
1271,0
1272,5460.8086
1273,0
1274,5694.836
1275,3015.0088
1276,946.03546
1277,0
1278,0
1279,2943.263
1280,2529.2893
1281,7.596234
1282,2670.441
1283,5224.9194
1284,3078.6143
1285,3532.474
1286,3443.922
1287,5183.8066
1288,3506.1594
1289,4309.8306
1290,5101.018
1291,5407.688
1292,0
1293,2921.308
1294,3388.3901
1295,2879.772
1296,3547.4226
1297,5895.501
1298,2966.5435
1299,2908.6675
1300,0
1301,6085.657
1302,2217.8745
1303,3775.1143
1304,5852.968
1305,0
1306,0
1307,37.231014
1308,2104.944
1309,3093.9329
1310,4728.5244
1311,548.89154
1312,0
1313,4879.9976
1314,2995.4272
1315,5223.5913
1316,3952.9458
1317,2975.8406
1318,4819.3657
1319,6066.012
1320,6790.7383
1321,2988.7407
1322,4714.6274
1323,3940.4934
1324,0
1325,3590.7637
1326,1895.6294
1327,3843.549
1328,3206.1333
1329,0
1330,3103.1108
1331,0
1332,1540.2476
1333,3716.7778
1334,0
1335,5005.5273
1336,2602.157
1337,3398.7964
1338,2520.9978
1339,463.3117
1340,6600.4443
1341,4372.907
1342,4959.7495
1343,0
1344,0
1345,0
1346,4664.2607
1347,2982.3997
1348,3801.558
1349,1398.2562
1350,4380.7725
1351,0
1352,0
1353,4514.468
1354,2665.1802
1355,2102.071
1356,2105.3032
1357,3711.3083
1358,6135.423
1359,0
1360,2863.7676
1361,2937.7483
1362,4168.135
1363,0
1364,3670.394
1365,3294.505
1366,1766.2937
1367,3132.4514
1368,2027.4772
1369,3591.0872
1370,3427.8113
1371,6280.304
1372,0
1373,3210.725
1374,0
1375,3259.6575
1376,4039.2144
1377,4152.3286
1378,3301.086
1379,2755.2935
1380,1596.3777
1381,3438.3757
1382,5185.045
1383,5447.5605
1384,0
1385,0
1386,4133.527
1387,131.97304
1388,4404.929
1389,3330.544
1390,4180.187
1391,4121.737
1392,0
1393,0
1394,3179.4636
1395,3541.4775
1396,3848.1611
1397,0
1398,3129.5117
1399,7081.028
1400,0
1401,2128.5645
1402,1967.233
1403,2825.3828
1404,4314.823
1405,3600.5754
1406,12.921389
1407,2511.7988
1408,2921.097
1409,2952.3643
1410,0
1411,0
1412,0
1413,0
1414,3443.922
1415,2921.308
1416,3506.5364
1417,3211.141
1418,5426.963
1419,4999.1353
1420,541.3875
1421,2028.7567
1422,3411.705
1423,3363.5225
1424,2003.2745
1425,0
1426,4620.806
1427,3259.4736
1428,0
1429,3330.902
1430,1075.3087
1431,2981.7812
1432,3861.0173
1433,3439.8503
1434,4814.4727
1435,0
1436,3698.09
1437,4246.089
1438,0
1439,1944.6467
1440,2217.8745
1441,5808.655
1442,5392.903
1443,48.84325
1444,2951.322
1445,6811.8423
1446,3458.9028
1447,3870.2334
1448,0
1449,0
1450,4931.0015
1451,0
1452,6423.185
1453,5325.5
1454,2756.4524
1455,0
1456,4687.8086
1457,2929.5732
1458,4103.046
1459,0
1460,0
1461,3398.7964
1462,3640.7578
1463,2784.4778
1464,3031.675
1465,3383.6663
1466,5861.1196
1467,0
1468,5587.1206
1469,2895.666
1470,5529.971
1471,3333.938
1472,6410.705
1473,2807.1912
1474,3490.775
1475,5509.37
1476,6537.1255
1477,3101.3877
1478,3800.5383
