,0
0,-45.843315
1,-49.871227
2,-53.165504
3,-31.431042
4,-49.385056
5,-26.766464
6,-37.832024
7,-11.549519
8,-52.679516
9,-28.882238
10,-38.958664
11,-22.5298
12,-18.687695
13,-12.655359
14,-47.21946
15,-35.941856
16,-19.387524
17,-25.310719
18,-39.665573
19,-43.577293
20,-24.144062
21,-19.953651
22,-40.34759
23,-31.651886
24,-24.415527
25,-33.19117
26,-26.154026
27,-29.716331
28,-28.89352
29,-19.962555
30,-49.58999
31,-23.781277
32,-34.83698
33,-22.285934
34,-36.39682
35,-14.537393
36,-28.318249
37,-13.49953
38,-39.665573
39,-22.517067
40,-31.237656
41,-25.796959
42,-29.519993
43,-39.36988
44,-21.01513
45,-15.330437
46,-19.68494
47,-10.84894
48,-18.211697
49,-9.999793
50,-17.86121
51,-46.255154
52,-11.890638
53,-34.03341
54,-30.78046
55,-13.481819
56,-20.306015
57,-10.323515
58,-17.302494
59,-25.693998
60,-37.173553
61,-22.8358
62,-26.177397
63,-37.417984
64,-18.035719
65,-29.072216
66,-12.14279
67,-43.340954
68,-22.007286
69,-9.636704
70,-27.892529
71,-49.932648
72,-20.938526
73,-26.80335
74,-25.337078
75,-21.252855
76,-28.219975
77,-16.90364
78,-34.60499
79,-22.35798
80,-28.858316
81,-14.419062
82,-34.44497
83,-26.27672
84,-30.76648
85,-23.628227
86,-16.99403
87,-44.151363
88,-47.864258
89,-16.703285
90,-42.50571
91,-28.638077
92,-30.211296
93,-29.903366
94,-42.875668
95,-27.258942
96,-34.618244
97,-43.461014
98,-20.416103
99,-39.503635
100,-50.09098
101,-34.818855
102,-42.36825
103,-18.07489
104,-34.026848
105,-15.198359
106,-41.227257
107,-15.708047
108,-14.537393
109,-34.19305
110,-28.601786
111,-28.852505
112,-36.025898
113,-27.317682
114,-23.490582
115,-26.16901
116,-22.516088
117,-23.099037
118,-49.333153
119,-27.837332
120,-15.840131
121,-21.207008
122,-30.18693
123,-35.412926
124,-48.048973
125,-45.06952
126,-19.872997
127,-19.448599
128,-48.427673
129,-46.206093
130,-42.334435
131,-25.00657
132,-28.696888
133,-46.500465
134,-30.164963
135,-24.318966
136,-17.309122
137,-28.89397
138,-47.837776
139,-50.57787
140,-27.406574
141,-24.150213
142,-22.558968
143,-19.997448
144,-14.673084
145,-48.90841
146,-28.738377
147,-27.930363
148,-9.999793
149,-16.165634
150,-43.461014
151,-28.778439
152,-49.70512
153,-44.380547
154,-23.437878
155,-31.580036
156,-22.084772
157,-7.6899962
158,-30.148342
159,-27.837332
160,-40.39101
161,-23.668148
162,-50.541374
163,-45.082684
164,-13.703287
165,-15.683271
166,-17.972229
167,-50.173595
168,-19.57171
169,-48.883774
170,-37.630608
171,-49.57824
172,-28.09611
173,-11.0180435
174,-36.30516
175,-34.42189
